iter	RMSE
0	12.19751091
1	11.5955308
2	11.00555714
3	10.53961116
4	10.09212372
5	9.702638052
6	9.33952933
7	9.05669022
8	8.781027704
9	8.510046318
10	8.299735641
11	8.082746689
12	7.905026241
13	7.742997254
14	7.60295318
15	7.505672753
16	7.373172502
17	7.251148767
18	7.159547541
19	7.061196878
20	6.957775984
21	6.883137371
22	6.808184841
23	6.72217364
24	6.624351293
25	6.548481647
26	6.495801765
27	6.435577849
28	6.367938992
29	6.310696047
30	6.261858909
31	6.199380588
32	6.147049006
33	6.102145082
34	6.047401421
35	6.006198546
36	5.970820472
37	5.937757653
38	5.910284414
39	5.853347983
40	5.80811048
41	5.769397792
42	5.734799586
43	5.684497573
44	5.650899762
45	5.616964076
46	5.577753113
47	5.536643248
48	5.492716056
49	5.461268563
50	5.438578821
51	5.395192284
52	5.363286428
53	5.313514164
54	5.286530483
55	5.260256419
56	5.224548864
57	5.202129125
58	5.188553194
59	5.167143877
60	5.148779506
61	5.120778017
62	5.087000112
63	5.07165441
64	5.045526709
65	5.029033288
66	5.015313479
67	5.000780495
68	4.984113453
69	4.961777059
70	4.94062021
71	4.902324205
72	4.881666806
73	4.85079504
74	4.830567274
75	4.808801224
76	4.782517588
77	4.767332756
78	4.737752205
79	4.712299715
80	4.699274997
81	4.685646112
82	4.672748408
83	4.656327372
84	4.629866892
85	4.616689467
86	4.587337584
87	4.559914371
88	4.526929546
89	4.501634319
90	4.477587599
91	4.456635654
92	4.434478908
93	4.422623646
94	4.402123821
95	4.388022499
96	4.363748581
97	4.332540296
98	4.320691607
99	4.286541119
