iter	Passed	Remaining
0	38	3798
1	80	3936
2	126	4076
3	171	4121
4	212	4034
5	251	3935
6	290	3860
7	327	3768
8	366	3706
9	406	3661
10	440	3567
11	473	3472
12	505	3379
13	536	3296
14	567	3214
15	598	3139
16	630	3076
17	662	3017
18	692	2951
19	723	2893
20	754	2839
21	785	2783
22	817	2737
23	848	2686
24	879	2637
25	911	2595
26	943	2550
27	977	2513
28	1011	2476
29	1042	2432
30	1075	2392
31	1106	2351
32	1138	2311
33	1169	2269
34	1201	2230
35	1231	2189
36	1262	2149
37	1293	2109
38	1325	2073
39	1363	2045
40	1395	2008
41	1426	1969
42	1459	1934
43	1491	1897
44	1522	1860
45	1560	1831
46	1590	1793
47	1622	1757
48	1653	1720
49	1683	1683
50	1714	1646
51	1746	1611
52	1776	1575
53	1808	1540
54	1839	1505
55	1870	1469
56	1902	1435
57	1934	1400
58	1968	1368
59	2000	1333
60	2032	1299
61	2063	1264
62	2094	1230
63	2126	1196
64	2158	1162
65	2190	1128
66	2221	1094
67	2254	1061
68	2286	1027
69	2318	993
70	2348	959
71	2379	925
72	2410	891
73	2441	857
74	2473	824
75	2504	790
76	2536	757
77	2567	724
78	2598	690
79	2629	657
80	2661	624
81	2695	591
82	2726	558
83	2757	525
84	2787	491
85	2818	458
86	2852	426
87	2884	393
88	2918	360
89	2949	327
90	2981	294
91	3014	262
92	3049	229
93	3080	196
94	3111	163
95	3146	131
96	3177	98
97	3207	65
98	3238	32
99	3270	0
