iter	RMSE
0	16.84087635
1	16.30212326
2	15.79570433
3	15.33211932
4	14.88460804
5	14.47205686
6	14.11523213
7	13.73852186
8	13.38990848
9	13.07083475
10	12.76088322
11	12.50313724
12	12.21762771
13	11.9994547
14	11.76912149
15	11.53284878
16	11.33967005
17	11.16138859
18	10.97337226
19	10.82148288
20	10.67144583
21	10.54167017
22	10.41379584
23	10.30406226
24	10.18701895
25	10.07320279
26	9.956072759
27	9.850611632
28	9.757271374
29	9.652350688
30	9.566212548
31	9.478624699
32	9.378480415
33	9.300801578
34	9.232469205
35	9.176585973
36	9.106857296
37	9.051131725
38	8.97508906
39	8.90340784
40	8.840994383
41	8.787733298
42	8.729149088
43	8.680861672
44	8.634860313
45	8.594418191
46	8.54161877
47	8.502025602
48	8.45886024
49	8.418334353
50	8.389336148
51	8.357483968
52	8.316687987
53	8.290582712
54	8.251587683
55	8.220500381
56	8.171076089
57	8.148079408
58	8.11468227
59	8.078386866
60	8.052833508
61	8.02289301
62	7.992998122
63	7.960518011
64	7.932428636
65	7.902072149
66	7.873610303
67	7.854035154
68	7.812582806
69	7.779951438
70	7.757161708
71	7.737901148
72	7.716188163
73	7.685624831
74	7.668090793
75	7.64250237
76	7.614991219
77	7.585531434
78	7.549809652
79	7.520758145
80	7.502881516
81	7.474957733
82	7.446041244
83	7.418834145
84	7.403073353
85	7.379683969
86	7.362012607
87	7.338892619
88	7.31488803
89	7.297270898
90	7.281856075
91	7.259952274
92	7.232168512
93	7.20519246
94	7.193992201
95	7.176626893
96	7.16075856
97	7.136368351
98	7.1073134
99	7.084512521
100	7.072707007
101	7.054662304
102	7.041299747
103	7.020259269
104	6.999702032
105	6.983581348
106	6.96121087
107	6.939388708
108	6.92443051
109	6.909657466
110	6.899825868
111	6.887371744
112	6.879358768
113	6.86766858
114	6.84928189
115	6.829570414
116	6.812189052
117	6.804142855
118	6.786579887
119	6.776426515
120	6.748901952
121	6.736178053
122	6.719581505
123	6.703369672
124	6.693102994
125	6.67751107
126	6.64666109
127	6.629653751
128	6.619039035
129	6.596860871
130	6.585755322
131	6.577111252
132	6.569645741
133	6.547453596
134	6.538919464
135	6.523773806
136	6.509377402
137	6.500499067
138	6.489420621
139	6.478053
140	6.459855599
141	6.448920992
142	6.432856896
143	6.424013624
144	6.41341418
145	6.395086403
146	6.383463969
147	6.364485695
148	6.351565209
149	6.341039869
150	6.332879013
151	6.319752117
152	6.313198238
153	6.303748862
154	6.289320317
155	6.278857488
156	6.265679074
157	6.251451201
158	6.234681539
159	6.224707356
160	6.210960175
161	6.201299654
162	6.189285219
163	6.180334688
164	6.172098914
165	6.162766839
166	6.154366304
167	6.138865133
168	6.128061799
169	6.117257228
170	6.096182095
171	6.087268592
172	6.076347313
173	6.066856824
174	6.053572895
175	6.036861994
176	6.027166159
177	6.019001001
178	6.011163036
179	5.999699741
180	5.989863498
181	5.982045445
182	5.974866496
183	5.962934946
184	5.956925586
185	5.948200876
186	5.943607855
187	5.931603508
188	5.918793077
189	5.900795897
190	5.89215428
191	5.875586873
192	5.869832898
193	5.857574247
194	5.849601953
195	5.839863674
196	5.83000855
197	5.817804707
198	5.807687833
199	5.794004976
200	5.781537595
201	5.772493519
202	5.76585191
203	5.755375118
204	5.744875278
205	5.732797866
206	5.720090537
207	5.708479175
208	5.703614787
209	5.693984014
210	5.688581754
211	5.684124749
212	5.678411353
213	5.670733205
214	5.664349732
215	5.65897949
216	5.647871746
217	5.640758452
218	5.633952945
219	5.623609873
220	5.613497062
221	5.600741634
222	5.591464957
223	5.587096499
224	5.572182023
225	5.561074935
226	5.555282936
227	5.550586926
228	5.537204314
229	5.528193239
230	5.517372524
231	5.508878473
232	5.498666865
233	5.493718135
234	5.487305778
235	5.476492338
236	5.466967027
237	5.457393082
238	5.451712639
239	5.442648765
240	5.436701104
241	5.428590856
242	5.419467913
243	5.410618793
244	5.402730194
245	5.397618218
246	5.389343896
247	5.381731227
248	5.374338634
249	5.368754564
250	5.360243708
251	5.3534877
252	5.343910047
253	5.336032051
254	5.325287074
255	5.317724493
256	5.307596152
257	5.299293808
258	5.294782644
259	5.288846908
260	5.27809743
261	5.271081024
262	5.262795328
263	5.2572678
264	5.245567335
265	5.239456611
266	5.234938117
267	5.229474709
268	5.223828058
269	5.216984791
270	5.211870395
271	5.204515936
272	5.199221733
273	5.194531676
274	5.189201228
275	5.184841121
276	5.180860428
277	5.17556532
278	5.168565706
279	5.164086416
280	5.157994251
281	5.150174127
282	5.14607505
283	5.13983204
284	5.132129514
285	5.127086612
286	5.120598171
287	5.115621383
288	5.111341895
289	5.108104265
290	5.102216046
291	5.095539531
292	5.090874078
293	5.084619516
294	5.076307722
295	5.06797067
296	5.056000402
297	5.046332426
298	5.038835187
299	5.030350123
300	5.021521497
301	5.015605315
302	5.009286641
303	5.003841894
304	4.996332416
305	4.991710625
306	4.986634665
307	4.980196707
308	4.97499411
309	4.97010322
310	4.960548273
311	4.954214126
312	4.947354542
313	4.941742658
314	4.936655519
315	4.928048667
316	4.921968563
317	4.914227401
318	4.904799301
319	4.901465968
320	4.893882292
321	4.890521925
322	4.883884818
323	4.880378563
324	4.876222919
